symbol,date,entry_time,exit_time,action,entry,stop_loss,target,range_width,rr,shares,gross_pnl,commission,net_pnl,exit_reason,capital_after
SPY,2026-05-19,2026-05-19 10:07:00-04:00,2026-05-19 13:03:00-04:00,SHORT,733.07,736.4605,726.65,3.21,1.89,291,-992.46,2.91,-995.37,stop_loss,97732.46
SPY,2026-05-20,2026-05-20 10:12:00-04:00,2026-05-20 10:16:00-04:00,SHORT,734.26,737.378,728.34,2.96,1.9,313,-982.19,3.13,-985.32,stop_loss,96747.14
QQQ,2026-05-20,2026-05-20 10:16:00-04:00,2026-05-20 13:36:00-04:00,LONG,708.63,703.904,716.87,4.12,1.74,221,548.08,2.21,545.87,window_close,105034.26
QQQ,2026-05-21,2026-05-21 10:01:00-04:00,2026-05-21 10:20:00-04:00,LONG,711.36,707.7695,718.18,3.41,1.9,292,-1054.27,2.92,-1057.19,stop_loss,103977.08
SPY,2026-05-21,2026-05-21 10:02:00-04:00,2026-05-21 11:08:00-04:00,LONG,740.3,737.2764,745.8306,2.7653,1.83,319,-970.91,3.19,-974.1,stop_loss,95773.04
QQQ,2026-05-22,2026-05-22 10:06:00-04:00,2026-05-22 13:26:00-04:00,SHORT,717.0589,721.526,709.2189,3.92,1.76,232,-851.7,2.32,-854.02,window_close,103123.06
SPY,2026-05-22,2026-05-22 10:14:00-04:00,2026-05-22 13:28:00-04:00,SHORT,745.56,748.2855,740.54,2.51,1.84,351,-963.67,3.51,-967.18,stop_loss,94805.86
QQQ,2026-05-26,2026-05-26 10:00:00-04:00,2026-05-26 13:20:00-04:00,LONG,728.46,723.946,737.02,4.28,1.9,228,-177.84,2.28,-180.12,window_close,102942.94
SPY,2026-05-26,2026-05-26 10:05:00-04:00,2026-05-26 11:46:00-04:00,LONG,751.1509,749.0315,755.1289,1.989,1.88,447,-956.31,4.47,-960.78,stop_loss,93845.08
QQQ,2026-05-27,2026-05-27 10:25:00-04:00,2026-05-27 13:45:00-04:00,SHORT,726.5399,733.643,713.6199,6.46,1.82,144,-80.65,1.44,-82.09,window_close,102860.85
SPY,2026-05-27,2026-05-27 11:19:00-04:00,2026-05-27 14:39:00-04:00,SHORT,749.18,751.4035,745.04,2.07,1.86,422,-666.76,4.22,-670.98,window_close,93174.1
SPY,2026-05-28,2026-05-28 10:00:00-04:00,2026-05-28 10:13:00-04:00,LONG,750.61,749.1705,752.99,1.19,1.65,647,1539.86,6.47,1533.39,target,94707.49
QQQ,2026-05-28,2026-05-28 10:12:00-04:00,2026-05-28 13:32:00-04:00,LONG,731.6,726.1745,741.02,4.71,1.74,189,754.11,1.89,752.22,window_close,103613.07
QQQ,2026-05-29,2026-05-29 10:00:00-04:00,2026-05-29 10:26:00-04:00,LONG,741.36,737.2405,748.9398,3.7899,1.84,251,-1039.01,2.51,-1041.52,stop_loss,102571.54
SPY,2026-05-29,2026-05-29 10:02:00-04:00,2026-05-29 10:42:00-04:00,LONG,757.915,755.3795,762.735,2.41,1.9,373,-953.2,3.73,-956.93,stop_loss,93750.55
QQQ,2026-06-01,2026-06-01 10:03:00-04:00,2026-06-01 11:20:00-04:00,SHORT,736.06,740.324,728.3,3.88,1.82,240,-1028.16,2.4,-1030.56,stop_loss,101540.98
SPY,2026-06-01,2026-06-01 11:30:00-04:00,2026-06-01 14:50:00-04:00,LONG,757.04,754.586,761.2,2.08,1.7,382,930.17,3.82,926.35,window_close,94676.9
SPY,2026-06-02,2026-06-02 10:04:00-04:00,2026-06-02 11:06:00-04:00,LONG,757.775,756.699,759.815,1.02,1.9,879,1793.16,8.79,1784.37,target,96461.27
QQQ,2026-06-02,2026-06-02 10:04:00-04:00,2026-06-02 13:24:00-04:00,LONG,743.6199,739.0115,752.3599,4.37,1.9,220,217.82,2.2,215.62,window_close,101756.61
SPY,2026-06-03,2026-06-03 12:18:00-04:00,2026-06-03 15:38:00-04:00,SHORT,754.62,759.003,746.5,4.06,1.85,220,-156.2,2.2,-158.4,window_close,96302.87
QQQ,2026-06-04,2026-06-04 10:05:00-04:00,2026-06-04 11:00:00-04:00,SHORT,733.21,738.0225,724.71,4.25,1.77,211,-1019.66,2.11,-1021.77,stop_loss,100734.84
SPY,2026-06-04,2026-06-04 10:22:00-04:00,2026-06-04 13:42:00-04:00,LONG,753.71,751.3585,758.17,2.23,1.9,409,1423.36,4.09,1419.27,window_close,97722.14
SPY,2026-06-05,2026-06-05 10:00:00-04:00,2026-06-05 13:20:00-04:00,SHORT,748.63,753.0275,740.33,4.15,1.89,222,1267.62,2.22,1265.4,window_close,98987.54
QQQ,2026-06-08,2026-06-08 10:36:00-04:00,2026-06-08 13:56:00-04:00,LONG,719.45,713.057,731.17,5.86,1.83,157,-102.05,1.57,-103.62,window_close,100631.22
SPY,2026-06-08,2026-06-08 10:58:00-04:00,2026-06-08 13:03:00-04:00,LONG,744.795,740.6145,752.215,3.71,1.77,236,-991.32,2.36,-993.68,stop_loss,97993.87
QQQ,2026-06-09,2026-06-09 10:10:00-04:00,2026-06-09 10:48:00-04:00,SHORT,718.88,725.9185,708.54,5.17,1.47,142,1468.28,1.42,1466.86,target,102098.08
SPY,2026-06-09,2026-06-09 10:10:00-04:00,2026-06-09 10:48:00-04:00,SHORT,743.13,747.081,735.89,3.62,1.83,248,1795.52,2.48,1793.04,target,99786.91
SPY,2026-06-10,2026-06-10 10:09:00-04:00,2026-06-10 11:11:00-04:00,LONG,737.125,731.226,748.085,5.48,1.86,169,-1000.31,1.69,-1002.0,stop_loss,98784.91
SPY,2026-06-11,2026-06-11 10:55:00-04:00,2026-06-11 13:29:00-04:00,SHORT,726.32,731.8205,715.9,5.21,1.89,179,-988.17,1.79,-989.96,stop_loss,97794.95
QQQ,2026-06-12,2026-06-12 10:06:00-04:00,2026-06-12 13:26:00-04:00,LONG,717.88,710.956,730.84,6.48,1.87,147,790.86,1.47,789.39,window_close,102887.47
SPY,2026-06-12,2026-06-12 10:54:00-04:00,2026-06-12 14:14:00-04:00,LONG,741.68,734.737,753.4,5.86,1.69,140,-93.8,1.4,-95.2,window_close,97699.75
SPY,2026-06-15,2026-06-15 10:56:00-04:00,2026-06-15 14:16:00-04:00,LONG,754.11,751.6435,758.77,2.33,1.89,396,443.52,3.96,439.56,window_close,98139.31
QQQ,2026-06-15,2026-06-15 11:03:00-04:00,2026-06-15 14:23:00-04:00,LONG,742.27,737.149,751.51,4.62,1.8,200,248.02,2.0,246.02,window_close,103133.49
QQQ,2026-06-16,2026-06-16 10:19:00-04:00,2026-06-16 11:45:00-04:00,SHORT,740.56,744.39,733.76,3.4,1.78,269,1829.2,2.69,1826.51,target,104960.0
SPY,2026-06-16,2026-06-16 10:19:00-04:00,2026-06-16 13:39:00-04:00,SHORT,753.98,755.512,751.1,1.44,1.88,640,1465.6,6.4,1459.2,window_close,99598.51
QQQ,2026-06-17,2026-06-17 10:02:00-04:00,2026-06-17 13:22:00-04:00,SHORT,730.695,735.8045,721.315,4.69,1.84,205,-386.42,2.05,-388.47,window_close,104571.52
SPY,2026-06-17,2026-06-17 10:24:00-04:00,2026-06-17 10:40:00-04:00,LONG,752.12,749.7645,755.94,1.91,1.62,422,-1002.46,4.22,-1006.68,stop_loss,98591.83
QQQ,2026-06-18,2026-06-18 10:23:00-04:00,2026-06-18 13:43:00-04:00,LONG,738.11,732.253,748.39,5.14,1.76,178,376.47,1.78,374.69,window_close,104946.21
QQQ,2026-06-22,2026-06-22 10:01:00-04:00,2026-06-22 10:27:00-04:00,LONG,744.73,740.2167,753.26,4.265,1.89,232,-1051.73,2.32,-1054.05,stop_loss,103892.17
SPY,2026-06-22,2026-06-22 10:10:00-04:00,2026-06-22 10:24:00-04:00,LONG,749.95,747.399,754.79,2.42,1.9,386,-992.41,3.86,-996.27,stop_loss,97595.56
SPY,2026-06-23,2026-06-23 10:00:00-04:00,2026-06-23 13:20:00-04:00,LONG,737.53,732.0535,747.39,4.93,1.8,178,-40.94,1.78,-42.72,window_close,97552.84
SPY,2026-06-24,2026-06-24 10:45:00-04:00,2026-06-24 13:16:00-04:00,LONG,737.71,734.13,744.51,3.4,1.9,272,-979.2,2.72,-981.92,stop_loss,96570.92
QQQ,2026-06-24,2026-06-24 10:46:00-04:00,2026-06-24 13:08:00-04:00,LONG,718.51,711.444,731.9498,6.7199,1.9,147,-1041.64,1.47,-1043.11,stop_loss,102849.06
SPY,2026-06-26,2026-06-26 10:00:00-04:00,2026-06-26 13:20:00-04:00,LONG,731.55,726.6375,740.45,4.45,1.81,196,536.06,1.96,534.1,window_close,97105.02
QQQ,2026-06-26,2026-06-26 10:00:00-04:00,2026-06-26 13:20:00-04:00,LONG,710.71,702.468,724.39,6.84,1.66,124,250.37,1.24,249.13,window_close,103098.18
QQQ,2026-06-29,2026-06-29 10:04:00-04:00,2026-06-29 11:59:00-04:00,SHORT,711.65,718.999,698.09,6.78,1.85,140,-1031.66,1.4,-1033.06,stop_loss,102065.12
SPY,2026-06-29,2026-06-29 10:07:00-04:00,2026-06-29 13:14:00-04:00,SHORT,734.9,740.1247,725.71,4.595,1.76,185,-970.27,1.85,-972.12,stop_loss,96132.9
SPY,2026-06-30,2026-06-30 10:02:00-04:00,2026-06-30 13:22:00-04:00,LONG,744.05,740.7365,750.19,3.07,1.85,290,751.07,2.9,748.17,window_close,96881.07
QQQ,2026-07-01,2026-07-01 10:00:00-04:00,2026-07-01 13:20:00-04:00,LONG,730.49,725.284,739.93,4.72,1.81,196,-372.4,1.96,-374.36,window_close,101690.76
SPY,2026-07-01,2026-07-01 10:00:00-04:00,2026-07-01 13:20:00-04:00,LONG,745.47,742.2268,751.4,2.965,1.83,298,807.58,2.98,804.6,window_close,97685.67
QQQ,2026-07-02,2026-07-02 10:01:00-04:00,2026-07-02 10:27:00-04:00,LONG,730.17,723.5645,742.428,6.129,1.86,153,-1013.7,1.53,-1015.23,stop_loss,100675.53
SPY,2026-07-02,2026-07-02 10:42:00-04:00,2026-07-02 14:02:00-04:00,SHORT,747.0,751.4523,738.71,4.145,1.86,219,1405.98,2.19,1403.79,window_close,99089.46
QQQ,2026-07-06,2026-07-06 10:12:00-04:00,2026-07-06 13:32:00-04:00,LONG,724.15,718.173,735.23,5.54,1.85,168,-332.0,1.68,-333.68,window_close,100341.85
SPY,2026-07-06,2026-07-06 10:23:00-04:00,2026-07-06 13:43:00-04:00,LONG,749.77,747.3035,754.03,2.13,1.73,401,56.14,4.01,52.13,window_close,99141.59
SPY,2026-07-07,2026-07-07 10:10:00-04:00,2026-07-07 13:30:00-04:00,SHORT,747.92,751.0955,742.5,2.71,1.71,312,-361.92,3.12,-365.04,window_close,98776.55
QQQ,2026-07-07,2026-07-07 10:10:00-04:00,2026-07-07 13:30:00-04:00,SHORT,709.87,716.669,697.11,6.38,1.88,147,-483.63,1.47,-485.1,window_close,99856.75
SPY,2026-07-08,2026-07-08 10:36:00-04:00,2026-07-08 13:20:00-04:00,SHORT,742.48,745.0392,737.91,2.285,1.79,385,-992.99,3.85,-996.84,stop_loss,97779.71
QQQ,2026-07-08,2026-07-08 10:47:00-04:00,2026-07-08 13:23:00-04:00,SHORT,704.54,710.043,694.82,4.86,1.77,181,-999.66,1.81,-1001.47,stop_loss,98855.28
QQQ,2026-07-09,2026-07-09 10:20:00-04:00,2026-07-09 13:07:00-04:00,SHORT,715.8,723.0625,703.3,6.25,1.72,136,-990.42,1.36,-991.78,stop_loss,97863.5
SPY,2026-07-09,2026-07-09 11:06:00-04:00,2026-07-09 14:26:00-04:00,LONG,749.39,745.5025,756.49,3.55,1.83,251,484.43,2.51,481.92,window_close,98261.63
SPY,2026-07-10,2026-07-10 10:02:00-04:00,2026-07-10 10:32:00-04:00,LONG,753.31,751.7283,756.18,1.435,1.81,621,-994.66,6.21,-1000.87,stop_loss,97260.76
QQQ,2026-07-10,2026-07-10 10:32:00-04:00,2026-07-10 11:30:00-04:00,SHORT,719.13,724.303,710.61,4.26,1.65,189,-981.48,1.89,-983.37,stop_loss,96880.13
SPY,2026-07-13,2026-07-13 10:16:00-04:00,2026-07-13 13:36:00-04:00,SHORT,751.41,754.0095,747.43,1.99,1.53,374,620.84,3.74,617.1,window_close,97877.86
QQQ,2026-07-13,2026-07-13 11:00:00-04:00,2026-07-13 12:34:00-04:00,LONG,718.52,712.886,729.08,5.28,1.87,171,-966.83,1.71,-968.54,stop_loss,95911.59
QQQ,2026-07-14,2026-07-14 10:05:00-04:00,2026-07-14 10:34:00-04:00,SHORT,716.795,720.4443,710.463,3.166,1.74,262,-961.36,2.62,-963.98,stop_loss,94947.61
SPY,2026-07-14,2026-07-14 10:16:00-04:00,2026-07-14 10:34:00-04:00,SHORT,749.19,751.9075,744.49,2.35,1.73,360,-985.5,3.6,-989.1,stop_loss,96888.76
QQQ,2026-07-15,2026-07-15 10:22:00-04:00,2026-07-15 13:42:00-04:00,SHORT,718.86,724.6315,708.0,5.43,1.88,164,518.24,1.64,516.6,window_close,95464.21
SPY,2026-07-15,2026-07-15 10:42:00-04:00,2026-07-15 14:02:00-04:00,SHORT,752.93,755.7,748.13,2.4,1.73,349,-537.46,3.49,-540.95,window_close,96347.81
SPY,2026-07-16,2026-07-16 10:16:00-04:00,2026-07-16 13:36:00-04:00,LONG,753.65,750.5275,759.35,2.85,1.83,308,-486.64,3.08,-489.72,window_close,95858.09
QQQ,2026-07-16,2026-07-16 13:40:00-04:00,2026-07-16 17:00:00-04:00,SHORT,706.8,713.929,693.602,6.599,1.85,133,207.48,1.33,206.15,window_close,95670.36
SPY,2026-07-17,2026-07-17 10:00:00-04:00,2026-07-17 13:20:00-04:00,LONG,745.6,740.5985,753.66,4.03,1.61,191,101.42,1.91,99.51,window_close,95957.6
QQQ,2026-07-17,2026-07-17 10:00:00-04:00,2026-07-17 13:20:00-04:00,LONG,694.76,686.421,708.32,6.78,1.63,114,699.96,1.14,698.82,window_close,96369.18
SPY,2026-07-20,2026-07-20 10:08:00-04:00,2026-07-20 13:28:00-04:00,SHORT,745.38,748.8905,738.96,3.21,1.83,273,365.82,2.73,363.09,window_close,96320.69
QQQ,2026-07-20,2026-07-20 10:10:00-04:00,2026-07-20 13:30:00-04:00,SHORT,700.27,706.057,689.99,5.14,1.78,166,21.58,1.66,19.92,window_close,96389.1
QQQ,2026-07-21,2026-07-21 10:09:00-04:00,2026-07-21 10:45:00-04:00,SHORT,703.21,707.3115,695.95,3.63,1.77,235,-968.55,2.35,-970.9,stop_loss,95418.2
SPY,2026-07-21,2026-07-21 10:27:00-04:00,2026-07-21 13:47:00-04:00,LONG,746.74,744.0545,751.76,2.51,1.87,358,687.36,3.58,683.78,window_close,97004.47
SPY,2026-07-22,2026-07-22 10:00:00-04:00,2026-07-22 13:20:00-04:00,LONG,748.85,746.2492,753.68,2.415,1.86,372,115.32,3.72,111.6,window_close,97116.07
QQQ,2026-07-22,2026-07-22 10:00:00-04:00,2026-07-22 13:20:00-04:00,LONG,708.15,703.333,717.23,4.54,1.88,198,104.94,1.98,102.96,window_close,95521.16
QQQ,2026-07-23,2026-07-23 10:33:00-04:00,2026-07-23 13:53:00-04:00,SHORT,693.03,698.9325,682.13,5.45,1.85,161,162.61,1.61,161.0,window_close,95682.16
SPY,2026-07-23,2026-07-23 10:51:00-04:00,2026-07-23 14:11:00-04:00,SHORT,738.06,742.7645,729.88,4.09,1.74,206,195.7,2.06,193.64,window_close,97309.71
SPY,2026-07-24,2026-07-24 10:57:00-04:00,2026-07-24 14:17:00-04:00,LONG,740.04,737.3075,744.94,2.45,1.79,356,156.64,3.56,153.08,window_close,97462.79
SPY,2026-07-27,2026-07-27 10:01:00-04:00,2026-07-27 11:27:00-04:00,SHORT,741.43,745.7265,733.57,3.93,1.83,226,736.76,2.26,734.5,window_close,98197.29
QQQ,2026-07-27,2026-07-27 10:01:00-04:00,2026-07-27 11:27:00-04:00,SHORT,685.015,692.6314,671.7604,6.6273,1.74,125,754.37,1.25,753.12,window_close,96435.28
